accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
RANGE_INTERPOLATED,"25 Posen St, Staten Island, NY 10312, USA",EikyNSBQb3NlbiBTdCwgU3RhdGVuIElzbGFuZCwgTlkgMTAzMTIsIFVTQSIaEhgKFAoSCVtBhvD-SsKJERkCr8NfYCQnEBk,"25 Posen Street, Staten Island, NY, US",40.5419898,-74.17443490000002,2,10312,OK,street_address
APPROXIMATE,"South Dakota, USA",ChIJpTjphS1DfYcRt6SGMSnW8Ac,"SD 2777 Arthur Kill Road, Staten Island, NY, US",43.9695148,-99.9018131,2,,OK,"administrative_area_level_1,political"
ROOFTOP,"3301 Broadway, Astoria, NY 11106, USA",ChIJV1c9AzpfwokRqL2zvYClEJo,"TIERRAS COLOMBIANAS II (Renewal), Queens, NY, US",40.76131029999999,-73.9235247,2,11106,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"Hospital for Special Surgery, 535 E 70th St, New York, NY 10021, USA",ChIJ9z3A-cNYwokRlZ6EH23xq1c,"Hospital for Special Surgery west wing addition, Manhattan, NY, US",40.7649401,-73.9529503,1,10021,OK,"establishment,hospital,point_of_interest"
GEOMETRIC_CENTER,"Melrose Ave, The Bronx, NY, USA",ChIJP6gn-Mr1wokRjF64xuYF-oM,"Melrose Commons North RFP Site B, Bronx, NY, US",40.8223113,-73.9148502,1,,OK,route
ROOFTOP,"1809 Emmons Ave, Brooklyn, NY 11235, USA",ChIJ0SAgDWVEwokRPIGmA9mjEI0,"1809 Emmons, Brooklyn, NY, US",40.5838388,-73.9501089,1,11235,OK,street_address
ROOFTOP,"708 Rockaway St, Staten Island, NY 10307, USA",ChIJ9X6az73Kw4kR2jQ50gbYrX8,"SS SD 708 Rockaway Street, Staten Island, NY, US",40.4996361,-74.23918549999998,1,10307,OK,premise
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"Special Regulations for Neighborhood Recovery, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
ROOFTOP,"30 E Loop Rd, Staten Island, NY 10304, USA",ChIJIw_4Ir9OwokR5uiZZO_iWvY,"30 East Loop Road, Staten Island, NY, US",40.5901071,-74.1028675,1,10304,OK,premise
RANGE_INTERPOLATED,"46 E Loop Rd, Staten Island, NY 10304, USA",Eio0NiBFIExvb3AgUmQsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzA0LCBVU0EiGhIYChQKEglpGcfYvk7CiRGH8InftglKBRAu,"46 East Loop Road, Staten Island, NY, US",40.5902746,-74.10270290000003,1,10304,OK,street_address
GEOMETRIC_CENTER,"Riverside Park South, Riverside Blvd, New York, NY 10069, USA",ChIJseNBN2dYwokRWQY41I7ZzvE,"Riverside Park South Phasing Modification, Manhattan, NY, US",40.7772489,-73.9895416,2,10069,OK,"establishment,park,point_of_interest"
ROOFTOP,"37-72 Junction Blvd, Flushing, NY 11368, USA",ChIJZzPgwrlfwokR7t9TUzGj_tk,"DUNKIN DONUTS-BASKIN ROBBINS 3102 (Renewal), Queens, NY, US",40.7494514,-73.8697521,1,11368,OK,"establishment,food,point_of_interest,store"
ROOFTOP,"1090 Madison Ave, New York, NY 10028, USA",ChIJYSsuP5ZYwokRSjn-MBTQnV0,"NECTAR, Manhattan, NY, US",40.77821760000001,-73.9608986,1,10028,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"688 Broadway, New York, NY 10012, USA",ChIJZ5luo5pZwokRKf9UiJN2YHE,"688 Broadway (Minor Modification), Manhattan, NY, US",40.7279855,-73.9940677,1,10012,OK,premise
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"Stairwells Text Amendment, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
ROOFTOP,"St John's University, 101 Murray Street, New York, NY 10007, USA",ChIJk778AhxawokRE1fZAHGXkfg,"101 Murray Street, Manhattan, NY, US",40.71549870000001,-74.01263759999998,1,10007,OK,premise
GEOMETRIC_CENTER,"Newton St, Staten Island, NY 10312, USA",ChIJV310rfVKwokRd4GrBYQZI08,"SS Newton Street, Staten Island, NY, US",40.5274954,-74.1738998,1,10312,OK,route
APPROXIMATE,"Ridgewood, Queens, NY, USA",ChIJIzZTSINewokR1IAJAc-zfs0,"Central Ridgewood Historic District, Queens, NY, US",40.70439860000001,-73.9018292,1,,OK,"neighborhood,political"
APPROXIMATE,"Meatpacking District, New York, NY 10014, USA",ChIJSWHWcMBZwokRnuiJh_NVI3A,"Meatpacking BID, Manhattan, NY, US",40.7409865,-74.0076108,1,10014,OK,"neighborhood,political"
ROOFTOP,"177 W 126th St, New York, NY 10027, USA",ChIJRyNIk5P3wokRwLsnNb0V5Kw,"Strivers Plaza FRESH, Manhattan, NY, US",40.80963610000001,-73.94735949999998,2,10027,OK,"establishment,point_of_interest"
ROOFTOP,"3929 Amboy Rd, Staten Island, NY 10308, USA",ChIJo7PSOrhLwokRFkk6yokQwvk,"West Shore BID, Staten Island, NY, US",40.551522,-74.14954499999997,1,10308,OK,"establishment,point_of_interest"
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"Torrice Loop, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"1 Water St, Brooklyn, NY 11201, USA",ChIJ2QZOdTpawokRU_eN_EPJaX8,"ROSE PLAZA ON THE RIVER, Brooklyn, NY, US",40.703684,-73.994861,1,11201,OK,"bar,establishment,food,point_of_interest,restaurant"
GEOMETRIC_CENTER,"Flatlands Ave & Louisiana Ave, Brooklyn, NY 11236, USA",EjZGbGF0bGFuZHMgQXZlICYgTG91aXNpYW5hIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjM2LCBVU0EiZiJkChQKEglHlZCR4lzCiRHdtIvUhGO2ZhIUChIJR5WQkeJcwokR3bSL1IRjtmYaFAoSCbM5QVXbXMKJEbGa_6In5LFTGhQKEgmPIwd0HV3CiREye7jCSn_AKSIKDfrgOhgV-UX10w,"Rezoning at Flatlands and Louisiana, Brooklyn, NY, US",40.6511866,-73.89004870000002,1,11236,OK,intersection
ROOFTOP,"2488 Grand Concourse #413, The Bronx, NY 10458, USA",ChIJafHOb4fzwokRFWE0gxOqokk,"Fordham Road BID Expansion, Bronx, NY, US",40.8620701,-73.8970123,1,10458,OK,"establishment,point_of_interest"
